id,name,sku,category,price,from_price,currency,notes
atomic-550-gt-a-street-spec-800hp-barra-long-motor,Atomic 550 GT-A | Street Spec | 800hp atw Capable,LDM-ATOMIC_550_GT_A_STRE,Complete Engines,15990,yes,AUD,
atomic-698-gt-a-race-spec-1000hp-barra-engine,Atomic 698 GT-A | Race Spec | 1000hp Capable,LDM-ATOMIC_698_GT_A_RACE,Complete Engines,19999,no,AUD,
atomic-barra-h260-cast-iron-block-2000hp-foundation,Atomic Barra H260 Cast Iron Block | 2000HP+ Foundation,LDM-ATOMIC_BARRA_H260_CA,Complete Engines,15000,yes,AUD,
atomic-barra-1000hp-capable-parts-package-rebuild-kit,Atomic Barra 1000HP Capable Parts Package,LDM-ATOMIC_BARRA_1000HP_,Rebuild Kits,8130,yes,AUD,
atomic-barra-billet-crank-build-kit-destroker,Atomic Barra Billet Crank Build Kit — Destroker Kit,LDM-ATOMIC_BARRA_BILLET_,Rebuild Kits,9550,no,AUD,
atomic-barra-550-gta-rebuild-kit-1000hp,Atomic Barra 550 GTA Rebuild Kit | 1000HP Capable,LDM-ATOMIC_BARRA_550_GTA,Rebuild Kits,3199,yes,AUD,
atomic-475-st-barra-rebuild-kit-650hp,Atomic 475 ST Barra Rebuild Kit | 650HP Capable,LDM-ATOMIC_475_ST_BARRA_,Rebuild Kits,2549,yes,AUD,
atomic-barra-premium-billet-steel-main-cap-set-4140,Atomic Barra Premium Billet Steel Main Cap Set,LDM-ATOMIC_BARRA_PREMIUM,Engine Block,1450,no,AUD,
atomic-barra-billet-girdle-silver-zinc-main-cap,Atomic Barra Billet Main Cap Girdle,LDM-ATOMIC_BARRA_BILLET_,Engine Block,415,yes,AUD,
atomic-barra-big-ears-sump-2-5l-capacity-baffled-wet-su,Atomic Barra Big Ears Sump | +2.5L Capacity,LDM-ATOMIC_BARRA_BIG_EAR,Engine Block,1599,yes,AUD,
atomic-barra-billet-oil-pump-backing-plate-crmo-steel-n,Atomic Barra Billet Oil Pump Backing Plate,LDM-ATOMIC_BARRA_BILLET_,Engine Block,319,no,AUD,
atomic-barra-crank-dowelling-jig-crank-dowel-kit,Atomic Barra Crank Dowelling Jig,LDM-ATOMIC_BARRA_CRANK_D,Engine Block,439,no,AUD,
atomic-barra-cosworth-f1-series-forged-pistons-2000hp-d,Atomic Barra Cosworth F1 Series Forged Pistons,LDM-ATOMIC_BARRA_COSWORT,"Pistons, Rods & Crank",2839,no,AUD,
atomic-barra-forged-pistons-icon-quiet-street-performan,Atomic Barra Forged Pistons | Made by Icon,LDM-ATOMIC_BARRA_FORGED_,"Pistons, Rods & Crank",2049,yes,AUD,
hypatec-barra-cast-pistons-dishtop-oem-street-rebuild,Hypatec Barra Cast Pistons | Dishtop,LDM-HYPATEC_BARRA_CAST_P,"Pistons, Rods & Crank",749,no,AUD,
atomic-barra-billet-superleggera-conrods-1000hp-barra-i,Atomic Barra Billet Superleggera Conrods | 1000+HP,LDM-ATOMIC_BARRA_BILLET_,"Pistons, Rods & Crank",1435,yes,AUD,
atomic-barra-billet-fatrod-conrods-1800hp-zero-failures,Atomic Barra Billet FatRod Conrods | 1800+HP,LDM-ATOMIC_BARRA_BILLET_,"Pistons, Rods & Crank",1749,no,AUD,
atomic-barra-billet-crank-3-5l-4-0l-aero-counterweights,Atomic Barra Billet Crank | 3.5L or 4.0L,LDM-ATOMIC_BARRA_BILLET_,"Pistons, Rods & Crank",5999,no,AUD,
atomic-barra-billet-camshafts-stage-1-5-dohc,Atomic Barra Billet Camshafts | Stage 1–5+,LDM-ATOMIC_BARRA_BILLET_,Cylinder Head,1485,no,AUD,
atomic-barra-valve-springs-stage-1-5-matched-sets-ovate,Atomic Barra Valve Springs | Stage 1–5,LDM-ATOMIC_BARRA_VALVE_S,Cylinder Head,400,yes,AUD,
atomic-high-rev-hydraulic-lifters-anti-pump-up-dohc-bar,Atomic High Rev Hydraulic Lifters | Anti Pump-Up,LDM-ATOMIC_HIGH_REV_HYDR,Cylinder Head,569,no,AUD,
atomic-barra-heavy-duty-roller-rockers-discontinued-nla,Atomic Barra Heavy Duty Roller Rockers,LDM-ATOMIC_BARRA_HEAVY_D,Cylinder Head,1249,no,AUD,
atomic-barra-built-cylinder-heads-stage-2-6-core-exchan,Atomic Barra Built Cylinder Heads | Core Exchange,LDM-ATOMIC_BARRA_BUILT_C,Cylinder Head,2750,yes,AUD,
atomic-barra-race-valve-spring-titanium-retainer-set,Atomic Barra Race Valve Spring &amp; Titanium Retainer Set,LDM-ATOMIC_BARRA_RACE_VA,Cylinder Head,1049,no,AUD,
atomic-barra-titanium-retainer-set-24-reduce-valvetrain,Atomic Barra Titanium Retainer Set (24),LDM-ATOMIC_BARRA_TITANIU,Cylinder Head,515,no,AUD,
atomic-barra-on-car-valve-spring-change-tool-patented-n,Atomic Barra On-Car Valve Spring Change Tool,LDM-ATOMIC_BARRA_ON_CAR_,Cylinder Head,299,no,AUD,
atomic-barra-valvestem-seals-standard-low-profile-high-,Atomic Barra Valvestem Seals | Standard or Low Profile,LDM-ATOMIC_BARRA_VALVEST,Cylinder Head,145,yes,AUD,
atomic-barra-heavy-duty-timing-chain-kit-complete-syste,Atomic Barra Heavy Duty Timing Chain Kits,LDM-ATOMIC_BARRA_HEAVY_D,Timing System,469,yes,AUD,
atomic-barra-vernier-sprockets-adjustable-cam-gears-vct,Atomic Barra Vernier Adjustable Cam Gears,LDM-ATOMIC_BARRA_VERNIER,Timing System,629,yes,AUD,
atomic-barra-ati-balancer-kit-race-balancer-harmonic-da,Atomic Barra ATI Balancer Kit | Race Balancer,LDM-ATOMIC_BARRA_ATI_BAL,Timing System,1499,no,AUD,
powerbond-barra-harmonic-balancer-performance-andra,Powerbond Barra Harmonic Balancer | Performance,LDM-POWERBOND_BARRA_HARM,Timing System,699,no,AUD,
atomic-barra-billet-crank-sprocket-heat-treated-case-ha,Atomic Barra Billet Crank Sprocket,LDM-ATOMIC_BARRA_BILLET_,Timing System,235,no,AUD,
atomic-barra-heavy-duty-timing-chain-double-row-high-te,Atomic Barra Heavy Duty Timing Chain,LDM-ATOMIC_BARRA_HEAVY_D,Timing System,235,no,AUD,
atomic-barra-vct-solenoid-delete-kit-cnc-billet-18mm-20,Atomic Barra VCT Solenoid Delete Kit,LDM-ATOMIC_BARRA_VCT_SOL,Timing System,165,no,AUD,
atomic-barra-billet-steel-timing-chain-guide-parabolic-,Atomic Billet Steel Timing Chain Guide — Parabolic,LDM-ATOMIC_BARRA_BILLET_,Timing System,245,no,AUD,
atomic-barra-race-spec-full-steel-oil-pump-hand-finishe,Atomic Barra Race Spec Full Steel Oil Pump,LDM-ATOMIC_BARRA_RACE_SP,Oil System,1500,no,AUD,
atomic-barra-oem-ported-alloy-housing-oil-pump-blueprin,Atomic Barra OEM+ Ported Alloy Housing Oil Pump,LDM-ATOMIC_BARRA_OEM_POR,Oil System,1349,no,AUD,
atomic-barra-billet-oil-pump-oem-housing-rebuild-kit,Atomic Barra Billet Oil Pump OEM Housing Rebuild Kit,LDM-ATOMIC_BARRA_BILLET_,Oil System,775,no,AUD,
atomic-barra-billet-oil-pump-gear-set-gas-nitrided,Atomic Barra Billet Oil Pump Gear Set,LDM-ATOMIC_BARRA_BILLET_,Oil System,489,no,AUD,
atomic-barra-high-pressure-oil-pump-spring-increase-oil,Atomic Barra High Pressure Oil Pump Spring,LDM-ATOMIC_BARRA_HIGH_PR,Oil System,49,no,AUD,
atomic-barra-gasket-kit-mls-d-headgasket-diesel-spec-hi,Atomic Barra Gasket Kit | MLS-D Headgasket,LDM-ATOMIC_BARRA_GASKET_,Gaskets & Seals,575,no,AUD,
atomic-barra-mls-d-headgasket-1mm-ford-barra-dohc,Atomic Barra MLS-D Headgasket,LDM-ATOMIC_BARRA_MLS_D_H,Gaskets & Seals,339,no,AUD,
